Date,Total Attendance,Total Attendence > 4 hours
W/E 06/01/2013,"412,216","28,702"
W/E 13/01/2013,"389,236","20,628"
W/E 20/01/2013,"360,739","15,279"
W/E 27/01/2013,"388,036","20,031"
W/E 03/02/2013,"423,114","24,538"
W/E 10/02/2013,"415,039","21,682"
W/E 17/02/2013,"409,586","24,150"
W/E 24/02/2013,"400,726","21,980"
W/E 03/03/2013,"423,610","27,622"
W/E 10/03/2013,"430,769","31,483"
W/E 17/03/2013,"420,997","27,514"
W/E 24/03/2013,"414,799","27,608"
W/E 31/03/2013,"416,972","22,552"
W/E 07/04/2013,"424,499","33,623"
W/E 14/04/2013,"417,763","34,906"
W/E 21/04/2013,"433,446","28,394"
W/E 28/04/2013,"430,561","18,891"
W/E 05/05/2013,"438,030","15,077"
W/E 12/05/2013,"443,718","16,212"
W/E 19/05/2013,"420,859","14,711"
W/E 26/05/2013,"420,304","13,741"
W/E 02/06/2013,"411,475","13,146"
W/E 09/06/2013,"422,308","13,578"
W/E 16/06/2013,"422,005","13,513"
W/E 23/06/2013,"437,033","14,327"
W/E 30/06/2013,"432,126","11,166"
W/E 07/07/2013,"440,751","13,989"
W/E 14/07/2013,"457,675","13,715"
W/E 21/07/2013,"457,046","15,344"
W/E 28/07/2013,"440,753","16,446"
W/E 04/08/2013,"420,149","14,221"
W/E 11/08/2013,"413,461","14,548"
W/E 18/08/2013,"403,535","15,078"
W/E 25/08/2013,"417,216","15,889"
W/E 01/09/2013,"427,343","17,214"
W/E 08/09/2013,"410,663","16,416"
W/E 15/09/2013,"395,337","13,256"
W/E 22/09/2013,"410,869","19,383"
W/E 29/09/2013,"430,353","20,300"
W/E 06/10/2013,"423,344","19,107"
W/E 13/10/2013,"415,362","16,982"
W/E 20/10/2013,"410,503","18,142"
W/E 27/10/2013,"418,366","19,784"
W/E 03/11/2013,"389,081","13,938"
W/E 10/11/2013,"401,448","16,031"
W/E 17/11/2013,"406,615","15,941"
W/E 24/11/2013,"404,822","17,372"
W/E 01/12/2013,"412,303","18,041"
W/E 08/12/2013,"415,790","21,543"
W/E 15/12/2013,"415,972","21,868"
W/E 22/12/2013,"408,501","18,198"
W/E 29/12/2013,"372,162","13,545"
